sequence with 50 event types 
(120,1112814,
<120 46 0.11,
157 34 0.44,
220 36 0.03,
288 26 0.01,
377 35 0.39,
451 8 0.58,
505 30 0.41,
514 17 0.05,
533 14 0.51,
572 33 0.12,
616 31 0.36,
620 37 0.76,
697 36 0.66,
746 20 0.97,
775 42 0.63,
813 32 0.67,
887 0 0.93,
927 5 0.92,
996 16 0.81,
1080 23 0.51,
1143 3 0.89,
1177 13 0.4,
1253 3 0.07,
1319 17 0.35,
1396 20 0.42,
1440 4 0.37,
1457 16 0.09,
1545 28 0.29,
1606 34 0.45,
1688 16 0.54,
1746 19 0.68,
1831 15 0.1,
1866 12 0.93,
1917 1 0.32,
1985 44 0.73,
2054 13 0.27,
2087 21 0.78,
2115 29 0.77,
2116 7 0.45,
2151 9 0.91,
2210 5 0.88,
2230 45 0.5,
2307 38 0.07,
2389 2 0.03,
2449 31 0.7,
2463 29 0.73,
2465 22 0.72,
2468 39 0.6,
2526 10 0.25,
2557 3 0.89,
2610 24 0.43,
2666 7 0.7,
2689 46 0.9,
2749 0 0.72,
2754 48 0.72,
2759 2 0.92,
2811 31 0.88,
2836 24 0.73,
2919 49 0.93,
2947 26 0.28,
3015 16 0.05,
3041 44 0.35,
3113 33 0.7,
3120 18 0.34,
3164 1 0.92,
3183 26 0.2,
3226 33 0.89,
3272 42 0.32,
3311 2 0.01,
3388 8 0.02,
3428 30 0.89,
3503 43 0.75,
3510 18 0.84,
3531 2 0.02,
3558 49 0.82,
3630 20 0.61,
3660 10 0.1,
3732 25 0.31,
3803 45 0.03,
3866 9 0.17,
3903 8 0.25,
3955 28 0.52,
4024 49 0.28,
4073 24 0.77,
4082 34 0.57,
4088 0 0.16,
4096 49 0.48,
4132 32 0.95,
4165 13 0.61,
4169 10 0.94,
4195 28 0.2,
4273 15 0.71,
4342 27 0.61,
4415 27 0.55,
4429 18 0.98,
4518 42 0.13,
4591 15 0.41,
4630 4 0.01,
4701 32 0.48,
4772 34 0.46,
4801 6 0.49,
4888 12 0.03,
4976 25 0.57,
5044 13 0.01,
5113 8 0.48,
5171 27 0.05,
5171 39 0.91,
5241 5 0.77,
5241 13 0.73,
5262 26 0.3,
5325 38 0.31,
5388 6 0.13,
5415 3 0.65,
5485 26 0.17,
5566 38 0.69,
5567 31 0.51,
5598 31 0.49,
5618 16 0.72,
5618 13 0.82,
5688 46 0.04,
5751 25 0.57,
5771 3 0.28,
5859 35 0.18,
5866 47 0.82,
5922 1 0.38,
5973 17 0.32,
5976 20 0.64,
6064 6 0.66,
6088 30 0.78,
6149 13 0.02,
6176 33 0.62,
6256 32 0.38,
6275 47 0.5,
6316 5 0.96,
6355 5 0.08,
6355 47 0.16,
6425 48 0.15,
6493 31 0.81,
6509 9 0.95,
6530 10 0.49,
6609 7 0.48,
6680 33 0.43,
6701 8 0.04,
6708 25 0.64,
6740 3 0.24,
6757 33 0.59,
6780 38 0.89,
6869 28 0.64,
6883 24 0.59,
6965 43 0.74,
7016 14 0.88,
7032 18 0.9,
7078 25 0.37,
7101 28 0.02,
7115 37 0.1,
7203 8 0.77,
7225 40 0.48,
7291 28 0.01,
7330 32 0.41,
7390 20 0.27,
7417 4 0.35,
7479 9 0.17,
7481 27 0.92,
7502 34 0.54,
7515 15 0.95,
7562 18 0.51,
7570 0 0.5,
7584 40 0.2,
7597 8 0.01,
7611 48 0.95,
7674 27 0.02,
7741 3 0.17,
7823 42 0.73,
7889 35 0.88,
7956 46 0.03,
7966 9 0.08,
8019 48 0.32,
8043 42 0.85,
8056 5 0.04,
8081 24 0.72,
8103 43 0.46,
8174 7 0.58,
8224 17 0.95,
8264 12 0.5,
8270 26 0.49,
8314 15 0.74,
8368 19 0.02,
8436 24 0.9,
8511 6 0.06,
8565 31 0.05,
8585 34 0.89,
8606 43 0.89,
8655 47 0.34,
8705 38 0.75,
8747 42 0.15,
8763 46 0.69,
8777 27 0.28,
8778 31 0.15,
8833 14 0.48,
8843 47 0.38,
8880 37 0.97,
8899 33 0.59,
8980 40 0.15,
9003 10 0.47,
9064 19 0.22,
9146 33 0.89,
9164 43 0.27,
9181 34 0.08,
9204 13 0.39,
9240 5 0.65,
9291 28 0.48,
9296 24 0.41,
9346 46 0.97,
9374 35 0.49,
9403 5 0.08,
9441 15 0.36,
9455 12 0.76,
9476 22 0.85,
9496 19 0.87,
9536 32 0.24,
9571 23 0.65,
9639 1 0.21,
9684 36 0.01,
9755 49 0.7,
9827 7 0.24,
9844 5 0.23,
9922 48 0.08,
9933 41 0.73,
9989 44 0.71,
9989 7 0.71,
10011 36 0.47,
10079 44 0.18,
10117 10 0.75,
10181 23 0.44,
10242 44 0.01,
10283 17 0.47,
10336 21 0.98,
10387 19 0.64,
10404 20 0.06,
10481 15 0.85,
10522 27 0.08,
10605 26 0.76,
10616 15 0.24,
10665 14 0.88,
10692 18 0.04,
10767 19 0.78,
10820 28 0.04,
10847 19 0.24,
10882 18 0.16,
10884 33 0.46,
10953 36 0.76,
10958 18 0.28,
11008 34 0.87,
11064 33 0.06,
11079 42 0.76,
11089 3 0.03,
11105 9 0.37,
11188 5 0.39,
11252 29 0.68,
11328 36 0.78,
11405 0 0.67,
11452 2 0.1,
11468 14 0.32,
11468 42 0.58,
11492 44 0.3,
11572 13 0.23,
11648 16 0.83,
11689 32 0.09,
11710 8 0.65,
11753 20 0.27,
11768 17 0.32,
11776 7 0.67,
11863 44 0.31,
11897 28 0.82,
11911 45 0.77,
12000 23 0.52,
12010 25 0.81,
12021 4 0.25,
12064 5 0.44,
12088 29 0.94,
12169 22 0.73,
12196 14 0.39,
12262 39 0.59,
12333 9 0.99,
12387 28 0.26,
12401 12 0.67,
12474 19 0.14,
12523 6 0.59,
12577 19 0.6,
12613 22 0.71,
12660 11 0.41,
12670 26 0.51,
12757 40 0.56,
12821 26 0.39,
12850 46 0.02,
12850 28 0.47,
12900 18 0.35,
12951 40 0.46,
13013 13 0.59,
13076 17 0.64,
13089 23 0.98,
13115 2 0.28,
13198 1 0.23,
13280 32 0.74,
13304 32 0.73,
13308 30 0.32,
13318 25 0.99,
13398 41 0.91,
13451 43 0.89,
13538 36 0.8,
13616 0 0.16,
13647 21 0.43,
13664 1 0.89,
13677 23 0.52,
13734 46 0.83,
13789 37 0.05,
13855 31 0.49,
13933 4 0.63,
14011 34 0.45,
14032 1 0.82,
14075 13 0.52,
14142 32 0.99,
14221 4 0.95,
14267 38 0.7,
14351 26 0.64,
14352 23 0.06,
14366 29 0.77,
14429 0 0.49,
14515 11 0.35,
14571 33 0.28,
14642 26 0.51,
14651 26 0.83,
14705 9 0.64,
14717 45 0.11,
14746 26 0.02,
14762 16 0.19,
14843 30 0.39,
14907 38 0.82,
14930 21 0.52,
14968 45 1.0,
15053 37 0.02,
15064 19 0.37,
15145 48 0.02,
15195 21 0.19,
15218 46 0.87,
15257 0 0.31,
15296 19 0.59,
15383 4 0.42,
15440 1 0.7,
15529 10 0.18,
15611 2 0.68,
15657 33 0.61,
15711 4 0.66,
15791 32 0.21,
15853 10 0.99,
15901 39 0.09,
15901 1 0.29,
15970 15 0.54,
16053 24 0.24,
16102 32 0.89,
16185 45 0.51,
16251 24 0.68,
16266 8 0.71,
16305 7 0.79,
16383 43 0.2,
16429 20 0.96,
16458 20 0.16,
16514 36 0.39,
16515 4 0.68,
16576 44 0.51,
16623 38 0.18,
16645 48 0.6,
16652 10 0.85,
16694 42 0.09,
16766 2 0.71,
16791 41 0.85,
16792 41 0.48,
16800 49 0.67,
16823 6 0.98,
16904 20 0.06,
16926 42 0.22,
16929 20 0.76,
16959 46 0.32,
17013 36 0.22,
17051 47 0.04,
17077 16 0.67,
17139 38 0.44,
17224 13 0.45,
17245 17 0.47,
17245 1 1.0,
17255 28 0.13,
17299 41 0.87,
17364 4 0.25,
17387 21 0.97,
17436 0 0.15,
17439 19 0.57,
17490 27 0.42,
17521 35 0.93,
17540 18 0.62,
17559 28 0.5,
17577 33 0.51,
17666 43 0.9,
17727 21 0.79,
17759 2 0.01,
17823 10 0.05,
17862 6 0.65,
17947 41 0.9,
18026 35 0.03,
18105 10 0.11,
18171 5 0.95,
18203 17 0.63,
18228 49 0.96,
18299 30 0.38,
18340 47 0.68,
18355 17 0.25,
18406 18 0.4,
18447 37 0.06,
18516 21 0.35,
18540 37 0.74,
18569 45 0.9,
18605 26 0.4,
18648 25 0.35,
18652 18 0.97,
18676 19 0.01,
18734 2 0.72,
18778 46 0.4,
18778 32 0.85,
18839 9 0.68,
18873 44 0.77,
18910 40 0.29,
18916 23 0.53,
18975 13 0.26,
19024 37 0.72,
19025 7 0.86,
19088 21 0.11,
19125 15 0.05,
19208 5 0.63,
19271 30 0.03,
19283 38 0.69,
19333 8 0.46,
19394 17 0.95,
19434 40 0.32,
19462 42 0.53,
19489 19 0.42,
19500 0 0.73,
19564 9 0.13,
19585 34 0.04,
19630 22 0.88,
19714 38 0.46,
19772 40 0.57,
19811 38 0.56,
19900 27 0.48,
19904 33 0.54,
19904 5 0.56,
19985 46 0.12,
20061 28 1.0,
20113 18 0.76,
20122 33 0.18,
20189 30 0.29,
20256 2 0.06,
20339 31 0.2,
20417 47 0.16,
20465 17 0.01,
20488 31 0.04,
20574 39 0.8,
20589 28 0.83,
20630 12 0.17,
20642 36 0.22,
20716 18 0.56,
20721 5 0.3,
20738 41 0.29,
20782 44 0.29,
20852 33 0.47,
20933 49 0.28,
20977 47 0.11,
21009 41 0.54,
21024 47 0.4,
21063 34 0.32,
21107 26 0.4,
21190 36 0.99,
21266 7 0.65,
21282 39 0.8,
21293 7 0.64,
21293 11 0.01,
21372 12 0.79,
21455 23 0.16,
21530 7 0.07,
21550 9 0.65,
21614 49 0.95,
21688 38 0.57,
21708 36 0.17,
21761 3 0.17,
21845 5 0.19,
21862 14 0.28,
21933 43 0.28,
22019 41 0.12,
22087 23 0.75,
22169 16 0.37,
22221 35 0.69,
22224 44 0.16,
22277 18 0.56,
22334 16 0.9,
22397 20 0.88,
22418 45 0.78,
22460 19 0.22,
22517 45 0.5,
22587 22 0.55,
22674 42 0.98,
22747 35 0.75,
22829 19 0.06,
22889 46 0.89,
22936 28 0.61,
22939 48 0.31,
22952 41 0.84,
23015 19 0.93,
23067 42 0.14,
23098 33 0.98,
23186 29 0.04,
23222 9 0.01,
23257 48 0.1,
23310 17 0.01,
23347 14 0.4,
23391 44 0.3,
23413 13 0.4,
23472 9 0.98,
23491 34 0.14,
