sequence with 50 event types 
(120,89273,
<120 19 0.08,
178 2 0.5,
225 13 0.18,
265 15 0.16,
290 1 0.22,
337 6 0.9,
416 34 0.74,
452 3 0.43,
515 22 0.39,
515 15 0.14,
555 18 0.12,
572 14 0.76,
586 36 0.74,
620 23 0.73,
695 41 0.45,
743 29 0.93,
781 32 0.95,
795 5 0.39,
833 9 0.27,
852 48 0.06,
891 19 0.92,
951 27 0.78,
1039 2 0.71,
1046 28 0.5,
1092 9 0.93,
1161 12 0.93,
1207 33 0.09,
1256 34 0.38,
1319 45 0.14,
1366 39 0.74,
1373 30 0.3,
1416 1 0.81,
1430 34 0.27,
1470 16 0.48,
1525 13 0.55,
1566 47 0.81,
1607 16 0.36,
1667 4 0.34,
1713 48 0.15,
1719 10 0.61,
1766 36 0.04,
1819 22 0.8,
1822 25 0.05,
1874 26 0.54,
1906 19 0.94,
1974 11 0.26,
1986 33 0.81,
2003 35 0.81,
2008 28 0.13,
2065 16 0.3,
2068 30 0.15,
2085 29 0.17,
2105 4 0.06,
2193 0 0.45,
2247 11 0.33,
2258 11 0.45,
2344 27 0.02,
2388 38 0.3,
2476 37 0.82,
2534 4 0.55,
2589 4 0.3,
2627 29 0.16,
2712 42 0.12,
2735 13 0.49,
2806 15 0.14,
2873 39 0.24,
2912 29 0.24,
2996 2 0.56,
3066 7 0.28,
3088 6 0.93,
3176 37 0.28,
3202 4 0.58,
3213 36 0.07,
3296 27 0.3,
3331 0 0.48,
3333 6 0.76,
3365 17 0.44,
3438 21 0.37,
3486 12 0.59,
3528 18 0.37,
3597 13 0.51,
3606 7 0.35,
3637 24 0.75,
3672 9 1.0,
3756 19 0.41,
3791 4 0.42,
3870 39 0.1,
3887 4 0.94,
3958 49 0.9,
3988 39 0.09,
4000 10 0.78,
4070 0 0.27,
4122 49 0.45,
4201 35 0.53,
4259 43 0.89,
4302 21 0.53,
4351 28 1.0,
4437 48 0.75,
4484 1 0.57,
4514 45 0.47,
4589 46 0.05,
4667 48 0.72,
4689 0 0.66,
4700 4 0.55,
4735 9 0.92,
4793 32 0.87,
4794 45 0.8,
4838 41 0.83,
4903 42 0.59,
4977 26 0.79,
5024 42 0.06,
5061 1 0.45,
5129 37 0.32,
5197 27 0.97,
5241 12 0.42,
5256 45 0.2,
5345 9 0.5,
5380 10 0.91,
5384 32 0.96,
5464 31 0.19,
5527 6 0.76,
5555 3 0.96,
5604 26 0.18,
5645 45 0.44,
5673 17 0.7,
5757 46 0.3,
5799 30 0.07,
5852 38 0.23,
5876 19 0.5,
5941 16 0.89,
5995 1 0.3,
6043 38 0.5,
6078 40 0.91,
6155 5 0.01,
6227 21 0.69,
6269 13 0.27,
6288 44 0.25,
6303 35 0.23,
6321 15 0.43,
6383 14 0.18,
6406 32 0.17,
6439 45 0.75,
6476 16 0.34,
6491 41 0.14,
6566 6 0.56,
6566 19 0.67,
6581 11 0.61,
6639 34 0.45,
6725 43 0.87,
6791 13 0.39,
6810 38 0.64,
6838 16 0.69,
6842 19 0.82,
6919 4 0.41,
6949 12 0.9,
6986 26 0.77,
7032 30 0.89,
7043 22 0.61,
7071 31 0.77,
7153 46 0.52,
7238 31 0.27,
7251 44 0.17,
7265 22 0.8,
7330 15 0.11,
7339 35 0.73,
7395 48 0.69,
7406 24 0.22,
7462 39 0.85,
7512 23 0.35,
7528 0 0.56,
7567 32 0.83,
7599 28 0.25,
7633 27 0.8,
7633 39 0.56,
7692 20 0.77,
7770 47 0.9,
7794 38 0.21,
7813 30 0.42,
7892 10 0.72,
7904 20 0.71,
7973 9 0.19,
8006 16 0.57,
8046 49 0.84,
8061 36 0.65,
8103 16 0.38,
8183 9 0.37,
8203 39 0.06,
8246 44 0.46,
8249 42 0.52,
8318 29 0.48,
8372 49 0.75,
8388 48 0.7,
8405 46 0.81,
8419 12 0.62,
8445 45 0.49,
8497 24 0.17,
8530 32 0.81,
8552 16 0.85,
8595 41 0.42,
8604 34 0.74,
