sequence with 50 event types 
(120,1292720,
<120 41 0.98,
196 11 0.6,
272 27 0.25,
339 42 0.44,
392 13 0.85,
395 47 0.05,
404 3 0.59,
489 49 0.93,
526 24 0.94,
557 9 0.05,
571 30 0.05,
589 3 0.47,
642 23 0.08,
704 10 0.82,
717 49 0.48,
788 8 0.26,
827 45 0.28,
894 4 0.75,
979 15 0.52,
982 41 0.58,
1050 13 0.33,
1113 38 0.71,
1137 48 0.55,
1143 34 0.87,
1153 22 0.77,
1198 28 0.42,
1270 16 0.6,
1346 38 0.66,
1361 24 0.48,
1361 30 0.99,
1440 25 0.63,
1505 45 0.35,
1585 38 0.67,
1616 21 0.98,
1620 6 0.14,
1624 6 0.29,
1650 2 0.26,
1689 33 0.69,
1722 9 0.17,
1769 15 0.04,
1819 31 0.07,
1877 7 0.48,
1905 9 0.28,
1989 14 0.98,
1996 27 0.4,
2062 24 0.35,
2120 7 1.0,
2192 38 0.89,
2268 21 0.62,
2290 48 0.96,
2378 46 0.73,
2465 38 0.09,
2546 2 0.26,
2565 16 0.77,
2578 37 0.25,
2640 2 0.57,
2693 44 0.99,
2719 41 0.47,
2791 17 0.76,
2846 27 0.04,
2862 48 0.78,
2943 33 0.92,
3021 49 0.14,
3081 42 0.75,
3086 35 0.53,
3123 22 0.78,
3208 46 0.43,
3213 36 0.56,
3283 14 0.8,
3330 7 0.99,
3380 0 0.45,
3411 31 0.14,
3429 37 0.91,
3467 21 0.62,
3476 28 0.47,
3520 24 0.23,
3599 38 0.21,
3651 10 0.98,
3675 38 0.05,
3760 7 0.98,
3838 20 0.63,
3853 5 0.43,
3907 24 0.72,
3982 28 0.42,
4040 40 0.45,
4082 2 0.68,
4150 37 0.73,
4220 7 1.0,
4249 0 0.83,
4290 23 0.86,
4341 6 0.09,
4342 33 0.48,
4345 48 0.38,
4384 29 0.66,
4428 11 0.16,
4495 33 0.92,
4560 17 0.64,
4563 30 0.66,
4611 43 0.45,
4636 42 0.81,
4680 30 0.51,
4741 36 0.65,
4765 31 0.81,
4824 5 0.13,
4834 48 0.13,
4920 8 0.59,
4926 48 0.92,
4947 21 0.98,
4981 49 0.95,
5066 46 0.57,
5127 36 0.09,
5200 46 0.17,
5223 24 0.55,
5232 1 0.55,
5274 41 0.42,
5301 4 0.29,
5349 28 0.85,
5400 40 0.97,
5479 43 0.07,
5503 25 0.94,
5546 16 0.29,
5586 7 0.99,
5618 39 0.57,
5705 17 0.28,
5793 46 0.05,
5845 38 0.7,
5892 27 0.59,
5949 32 0.96,
5955 29 0.07,
5985 8 0.37,
6060 44 0.1,
6076 22 0.03,
6077 45 0.16,
6119 10 0.99,
6179 0 0.49,
6216 41 0.07,
6229 33 0.96,
6237 19 0.27,
6292 18 0.57,
6327 16 0.44,
6336 9 0.31,
6396 7 0.34,
6410 19 0.34,
6418 47 0.26,
6501 11 0.36,
6534 1 0.2,
6542 37 0.95,
6577 9 0.7,
6587 32 0.38,
6676 26 0.92,
6737 48 0.02,
6795 18 0.73,
6871 29 0.1,
6912 1 0.53,
6955 40 0.3,
7035 46 0.61,
7046 33 0.46,
7072 2 0.27,
7120 25 0.81,
7128 25 0.23,
7206 12 0.27,
7221 35 0.81,
7251 4 0.84,
7280 30 0.61,
7339 33 0.58,
7370 35 0.6,
7447 18 0.98,
7467 9 0.23,
7479 27 0.38,
7483 10 0.58,
7497 3 0.81,
7547 9 0.52,
7634 19 0.39,
7699 7 0.93,
7764 14 0.03,
7833 21 0.62,
7888 25 0.92,
7910 13 0.34,
7983 39 0.16,
8015 39 0.48,
8022 33 0.94,
8102 30 0.89,
8152 43 0.98,
8190 30 0.96,
8222 16 0.61,
8222 44 0.31,
8230 15 0.97,
8300 42 0.48,
8335 40 0.95,
8342 5 0.93,
8395 8 0.5,
8457 1 0.34,
8532 7 0.79,
8604 5 0.22,
8656 13 0.93,
8737 3 0.51,
8745 36 0.26,
8796 46 0.23,
8828 45 0.71,
8870 15 0.52,
8878 1 0.61,
8926 31 0.07,
8983 27 0.53,
9029 5 0.32,
9110 24 0.07,
9145 45 0.54,
9189 6 0.87,
9240 12 0.94,
9316 8 0.19,
9343 13 0.87,
9353 20 0.61,
9421 1 0.1,
9475 45 0.55,
9533 44 0.82,
9568 27 0.37,
9649 43 0.47,
9727 48 0.9,
9778 16 0.56,
9806 14 0.51,
9868 29 0.79,
9922 19 0.63,
10002 2 0.42,
10027 33 0.81,
10113 3 0.46,
10123 21 0.19,
10123 19 0.7,
10133 31 0.98,
10171 14 0.75,
10205 10 0.14,
10235 26 0.97,
10323 29 0.94,
10378 46 0.06,
10419 41 0.91,
10423 8 0.74,
10439 18 0.47,
10461 0 0.91,
10509 31 0.7,
10581 21 0.45,
10609 0 0.74,
10663 27 0.04,
10675 47 0.87,
10677 22 0.8,
10689 17 0.65,
10760 42 0.77,
10844 41 0.86,
10903 29 0.05,
10984 37 0.08,
10999 47 0.62,
11013 48 0.11,
11061 8 0.31,
11113 26 0.1,
11143 0 0.79,
11232 37 0.55,
11251 17 0.74,
11332 5 0.63,
11387 38 0.9,
11404 46 0.21,
11426 7 1.0,
11478 40 0.67,
11540 16 0.08,
11555 33 0.76,
11577 47 0.64,
11651 17 0.91,
